possession.id,period,how.possession.ended,team.with.ball,end.time,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,points,defensive.fouls,offensive.rebounds,alternates
208,4,end.of.period,home,2880,0,0,1,0,0,0,0,0,1,TRUE
209,5,made.shot,home,3315,1,1,0,0,0,0,2,0,0,
210,5,made.shot,away,3329,0,0,1,1,0,0,3,0,0,TRUE
211,5,missed.shot,home,3343,0,0,1,0,0,0,0,0,0,TRUE
212,5,missed.shot,away,3355,1,0,0,0,0,0,0,0,0,TRUE
213,5,missed.shot,home,3370,0,0,1,0,0,0,0,0,0,TRUE
214,5,missed.shot,away,3382,1,0,0,0,0,0,0,0,0,TRUE
215,5,missed.shot,home,3399,0,0,1,0,0,0,0,0,0,TRUE
216,5,turnover,away,3425,0,0,0,0,0,0,0,2,0,TRUE
217,5,last.ft.made,home,3443,1,1,0,0,1,1,3,1,0,TRUE
218,5,made.shot,away,3457,1,1,0,0,0,0,2,0,0,TRUE
219,5,last.ft.made,home,3474,0,0,0,0,2,2,2,1,0,TRUE
220,5,missed.shot,away,3496,1,0,0,0,0,0,0,0,0,TRUE
221,5,made.shot,home,3513,0,0,1,1,0,0,3,0,0,TRUE
222,5,missed.shot,away,3526,1,0,1,0,0,0,0,0,1,TRUE
223,5,made.shot,home,3544,0,0,1,1,0,0,3,0,0,TRUE
224,5,missed.shot,away,3560,0,0,1,0,0,0,0,0,0,TRUE
225,5,missed.shot,home,3584,1,0,0,0,0,0,0,1,0,TRUE
226,5,turnover,away,3594,0,0,1,0,0,0,0,1,1,TRUE
227,5,end.of.period,home,3600,0,0,0,0,0,0,0,0,0,TRUE
